;A;B;C;D;E;F;G;H;I;J;
A;0;10;30;50;70;10;10000000;10000000;10000000;10000000;
B;2;0;89;9;2;10000000;10000000;10000000;2;10000000;
C;8;10000000;0;8;10000000;8;10000000;2;10000000;10000000;
D;10000000;10000000;2;0;10000000;3;10000000;1;10000000;10000000;
E;8;18;76;9;0;10000000;10000000;10000000;88;10000000;
F;9;10;10000000;9;1;0;1;10000000;7;10000000;
G;8;10000000;7;2;2;10000000;0;1;10000000;10000000;
H;1;10000000;8;10000000;10000000;8;10000000;0;8;10000000;
I;7;10000000;8;10000000;10000000;8;10000000;10000000;0;2;
J;10000000;1;10000000;9;10000000;10000000;10000000;9;10000000;0;
