;Abangares;Bagaces;Carrillo;Cañas;Hojancha;Nicoya;La Cruz;Liberia;Nandayure;Tilarán;Santa Cruz;
Abangares;0;61;78;39;77;80;91;87;85;62;90;
Bagaces;67;0;38;34;45;63;48;36;61;38;66;
Carrillo;109;42;0;76;60;67;86;78;80;57;85;
Cañas;34;77;39;0;49;106;85;72;84;87;72;
Hojancha;66;28;34;32;0;60;76;23;77;54;75;
Nicoya;93;74;112;108;90;0;77;106;71;48;76;
La Cruz;105;38;38;72;83;84;0;74;75;76;104;
Liberia;75;37;43;41;9;37;85;0;75;63;84;
Nandayure;73;64;64;39;44;32;26;35;0;74;96;
Tilarán;96;67;67;62;49;55;29;58;23;0;28;
Santa Cruz;76;95;72;42;67;95;93;58;74;83;0;
