;Abangares;Bagaces;Carrillo;Cañas;Hojancha;Nicoya;La Cruz;Liberia;Nandayure;Tilarán;Santa Cruz;
Abangares;0;61;117;39;77;80;143;87;86;62;100;
Bagaces;67;0;38;34;109;63;48;36;97;38;84;
Cañas;130;42;0;78;60;67;200;79;92;57;89;
Cañas;34;78;39;0;49;154;85;75;84;87;72;
Hojancha;87;28;34;32;0;78;87;23;84;54;75;
Nicoya;93;74;126;136;90;0;130;111;76;48;98;
La Cruz;185;38;38;84;98;84;0;92;75;83;256;
Liberia;347;325;123;65;9;37;921;0;75;94;0123;
Nandayure;289;267;218;39;46;32;26;35;0;74;96;
Tilarán;99;98;143;237;49;98;29;72;23;0;28;
Santa Cruz;178;157;72;42;85;95;93;58;74;83;0;
